Var1,Var2,Var3,Var4,,,,
1,5452,2811.8,193.68,8215.9,3000,104.24,1
2,5417.3,2862.1,193.68,5880.6,3000,102.72,1
3,5422.8,2872.3,193.68,10450,3000,142.54,1
4,5420,2852.4,193.68,15634,3000,119.22,1
5,5430.5,2853.6,193.68,6591,3000,134.48,1
6,6035.6,3305.5,173.31,10067,3000,125.82,1
9,2018.8,3823.4,112.76,6958.6,3000,109.43,1
10,2030,3861.7,112.76,9808.9,3000,139.04,1
10,2673.3,2543.6,-188.56,9684,3000,164.81,0
10,5439.2,2850.1,182.45,14480,3000,134.12,1
11,2705.3,2531.4,-188.56,13745,3000,149.56,0
11,5421.9,2844,182.45,11534,3000,115.03,1
12,5418.9,2832.4,182.45,10042,3000,138.37,1
12,2088.6,2261.4,223.42,13125,3000,136.87,1
18,1578.9,4728.4,34.869,4908.1,3000,162.76,1
19,1575.1,4648.5,34.869,8849.5,3000,162.47,1
19,4117.4,2560.8,143.02,11727,3000,132.59,1
20,1582.2,4671.5,34.869,6768.4,3000,153.16,1
20,4140.8,2590.7,143.02,5961.7,3000,258.64,1
20,4720.8,2550.4,181.15,9386.3,3000,184.34,1
21,1537,4715.7,34.869,6267.6,3000,137.25,1
21,4128.9,2567.1,143.02,12462,3000,136.72,1
21,4711.9,2518.4,181.15,7381.4,3000,171.22,1
22,5176.1,2756.8,-122.97,3208.8,3000,173.52,0
28,4520.2,2536,160.15,7859,3000,123.19,1
29,4540.9,2516.4,160.15,10293,3000,142.97,1
30,4545,2509.9,160.15,11053,3000,138.16,1
31,4528.4,2539.2,160.15,17660,3000,115.03,1
31,2060.5,3829.1,87.333,5875.9,3000,130.16,1
40,2486.2,2883.6,-98.124,7904.3,3000,150.61,0
40,1932.6,4017.3,85.713,3955.8,3000,148.25,1
41,3457.3,1386.3,-387.64,7189.2,3000,133.22,0
50,1511.4,5107.8,418.82,5622.4,3000,174.7,1
51,3543.1,786.77,-469.05,7487,3000,158.42,0
