Ground-truth,frame,xnano,ynano,znano,intensity 
    1,  9039, 43.325, 839.830, 340.704, 267.350 
    2,  9040, 43.325, 839.830, 340.704, 29.546 
    3, 15342, 39.005, 850.199, 331.856, 420.767 
    4, 15343, 39.005, 850.199, 331.856, 112.389 
    5, 12283, 56.375, 868.420, 333.775, 56.924 
    6, 13262, 57.984, 875.285, 339.456, 22.299 
    7, 13263, 57.984, 875.285, 339.456, 194.737 
    8, 13265, 57.984, 875.285, 339.456, 108.822 
    9,  4084, 69.829, 859.504, 340.349, 105.754 
   10, 19336, 67.588, 859.709, 346.982, 118.861 
   11, 19337, 67.588, 859.709, 346.982, 74.246 
   12,  6593, 11.845, 821.569, 339.934, 301.455 
   13,  6594, 11.845, 821.569, 339.934, 428.634 
   14,  6595, 11.845, 821.569, 339.934, 64.217 
   15, 18446, 69.815, 873.417, 347.961, 190.603 
   16, 18447, 69.815, 873.417, 347.961, 405.821 
   17, 15306, 85.914, 889.720, 335.330, 174.343 
   18, 16865, 92.772, 878.472, 330.943, 40.768 
   19,  3150, 57.504, 856.425, 348.587, 75.311 
   20,  3154, 57.504, 856.425, 348.587, 384.270 
   21,  3155, 57.504, 856.425, 348.587, 444.995 
   22,  3156, 57.504, 856.425, 348.587, 274.138 
   23,  8118, 74.616, 875.686, 329.502, 399.894 
   24,  8119, 74.616, 875.686, 329.502, 495.652 
   25,  8120, 74.616, 875.686, 329.502, 383.438 
   26, 15235, 13.820, 840.837, 349.642, 172.511 
   27, 15236, 13.820, 840.837, 349.642, 58.176 
   28,  1207, 96.348, 891.311, 348.047, 15.855 
   29, 15237, 97.211, 881.307, 334.234, 181.285 
   30, 16434, 66.073, 874.277, 349.480, 280.393 
   31,  3728, 84.179, 879.872, 330.008, 90.667 
   32,  3729, 84.179, 879.872, 330.008, 318.328 
   33, 15518, 6.563, 833.651, 339.049, 145.622 
   34, 15519, 6.563, 833.651, 339.049, 435.668 
   35, 15520, 6.563, 833.651, 339.049, 435.668 
   36, 15521, 6.563, 833.651, 339.049, 435.668 
   37, 15522, 6.563, 833.651, 339.049, 435.668 
   38, 15523, 6.563, 833.651, 339.049, 73.780 
   39, 13663, 67.221, 877.136, 337.819, 420.902 
   40, 13664, 67.221, 877.136, 337.819, 352.442 
   41, 18917, 2.088, 812.615, 341.677, 357.744 
   42, 18918, 2.088, 812.615, 341.677, 213.879 
   43, 12871, 70.512, 862.262, 338.145, 275.294 
   44, 12872, 70.512, 862.262, 338.145, 184.611 
   45, 15764, 22.842, 838.766, 332.394, 44.581 
   46, 15765, 22.842, 838.766, 332.394, 466.860 
   47, 15766, 22.842, 838.766, 332.394, 466.860 
   48, 15767, 22.842, 838.766, 332.394, 101.667 
   49, 17972, 62.931, 869.638, 348.258, 258.187 
   50, 17973, 62.931, 869.638, 348.258, 84.414 
   51, 12573, 71.876, 862.454, 338.663, 127.104 
   52, 12574, 71.876, 862.454, 338.663, 480.251 
   53, 12575, 71.876, 862.454, 338.663, 332.872 
   54, 12582, 71.876, 862.454, 338.663, 370.153 
   55, 12583, 71.876, 862.454, 338.663, 105.031 
   56,  9917, 4.280, 829.626, 336.556, 97.472 
   57,  9918, 4.280, 829.626, 336.556, 285.175 
   58,  5752, 62.319, 877.831, 337.505, 405.716 
   59,  5753, 62.319, 877.831, 337.505, 477.015 
   60,  5754, 62.319, 877.831, 337.505, 477.015 
   61,  5755, 62.319, 877.831, 337.505, 281.936 
   62,  5758, 62.319, 877.831, 337.505, 360.605 
   63,  5759, 62.319, 877.831, 337.505, 144.862 
   64,  9044, 23.797, 829.845, 339.588, 113.448 
   65, 13937, 4.932, 814.765, 334.659, 88.740 
   66, 13938, 4.932, 814.765, 334.659, 29.718 
   67, 11971, 49.057, 846.598, 336.617, 309.398 
   68, 11972, 49.057, 846.598, 336.617, 429.846 
   69, 11973, 49.057, 846.598, 336.617, 16.094 
   70, 19252, 35.970, 841.681, 349.052, 116.713 
   71, 15467, 8.884, 824.190, 332.555, 236.613 
   72, 15468, 8.884, 824.190, 332.555, 11.665 
   73, 15473, 8.884, 824.190, 332.555, 157.704 
   74, 15474, 8.884, 824.190, 332.555, 466.818 
   75, 15475, 8.884, 824.190, 332.555, 27.795 
   76, 15193, 29.128, 838.330, 336.055, 217.966 
   77, 15194, 29.128, 838.330, 336.055, 233.796 
   78,  3016, 93.849, 874.974, 342.207, 210.772 
   79,  3017, 93.849, 874.974, 342.207, 392.840 
   80,  3018, 93.849, 874.974, 342.207, 116.668 
   81,  3021, 93.849, 874.974, 342.207, 271.273 
   82,  3022, 93.849, 874.974, 342.207, 222.161 
   83, 19647, 9.671, 832.912, 336.335, 9.856 
   84,  2335, 16.757, 837.452, 338.009, 39.919 
   85,  2336, 16.757, 837.452, 338.009, 162.716 
   86,  2337, 16.757, 837.452, 338.009, 291.324 
   87,  2338, 16.757, 837.452, 338.009, 419.932 
   88,  2339, 16.757, 837.452, 338.009, 22.383 
   89,  9059, 91.976, 881.873, 348.598, 381.634 
   90,  9060, 91.976, 881.873, 348.598, 22.844 
   91,  6633, 72.758, 862.517, 342.973, 202.575 
   92,  6636, 72.758, 862.517, 342.973, 336.290 
   93,  6637, 72.758, 862.517, 342.973, 458.649 
   94,  6638, 72.758, 862.517, 342.973, 78.361 
   95, 18066, 58.817, 852.075, 342.285, 158.865 
   96, 18067, 58.817, 852.075, 342.285, 193.132 
   97,  1943, 53.393, 866.731, 332.491, 429.488 
   98,  1944, 53.393, 866.731, 332.491, 235.554 
   99, 15885, 49.634, 863.247, 335.696, 108.310 
  100, 15886, 49.634, 863.247, 335.696, 308.059 
  101, 13849, 59.288, 872.776, 337.254, 401.212 
  102, 13850, 59.288, 872.776, 337.254, 352.404 
